#id arrival runtime priority
1	11	14	8
2	15	24	8
3	15	7	9
4	20	14	10
5	26	6	1
6	34	16	10
7	43	29	9
8	43	4	10
9	45	14	9
10	48	5	4
11	55	15	6
12	59	3	2
13	69	1	2
14	75	13	6
15	80	18	5
16	84	27	1
17	87	15	10
18	88	24	4
19	97	10	6
20	103	6	2
21	113	24	6
22	119	11	3
23	127	15	0
24	136	13	0
25	138	0	4
26	146	10	4
27	153	22	4
28	160	13	2
29	169	18	9
30	174	1	0
31	179	13	4
32	179	7	2
33	180	29	9
34	181	27	1
35	191	21	8
36	192	24	6
37	198	22	9
38	206	29	10
39	215	19	1
40	222	13	6
41	227	1	9
42	237	20	7
43	238	21	1
44	246	27	1
45	254	29	2
46	257	21	0
47	266	17	4
48	273	16	3
49	278	11	10
50	284	12	9
